video,yt_id,duration,title,singer,audio,lyric,year,match,pn
6.외로움증폭장치 - Loneliness Amplifier,gwhFvXF-6t8,3:06,외로움증폭장치,버스커버스커,Q3,Q3,2012,3,0
"4.처음엔 사랑이란게 - Love, At First",h_lGsTnWohA,4:05,처음엔 사랑이란 게,버스커버스커,Q3,Q3,2013,3,0
FAKE LOVE,0tWU94w_3ig,4:03,Fake Love,BTS,Q2,Q3,2018,3,0
BTS - Danger (방탄소년단 - Danger) [Color Coded Lyrics/Han/Rom/Eng/가사],abm8QCh7pBg,4:05,Danger,BTS,Q2,Q2,2014,3,0
The Truth Untold (Feat. Steve Aoki),ITc-om9SVr4,4:03,전하지 못한 진심,BTS,Q3,Q3,2018,3,0
케이윌(K.will) - 그립고 그립고 그립다 [가사/Lyrics],UczuiyzK5cQ,4:18,그립고 그립고 그립다,케이윌,Q3,Q3,2009,3,0
I hate myself (내가 싫다),-AAkBfgBxmA,3:54,내가 싫다,케이윌,Q3,Q3,2011,3,0
Dropping the Tears (눈물이 뚝뚝),MKkrSBjNIvw,4:19,눈물이 뚝뚝,케이윌,Q3,Q3,2009,3,0
에일리(Ailee) - 저녁 하늘 [가사/Lyrics],8JINsWbZVEA,3:55,저녁 하늘,에일리,Q3,Q3,2012,3,0
[Audio] 헤이즈 (Heize) - 비도 오고 그래서 (Feat. 신용재),N8frr93imY8,3:26,비도 오고 그래서,헤이즈,Q3,Q3,2017,3,0
불티 Spark,8a_kJWcAOvU,3:38,불티,태연,Q2,Q2,2019,3,0
비스트(Beast) - 비가 오는 날엔 [가사/Lyrics],B-AqBu0D0q8,3:46,비가 오는 날엔,비스트,Q3,Q3,2011,3,0
[MP3/DL] BEAST (B2ST) (비스트) - No More (이젠 아니야),na6BLM8sCTc,4:00,이젠 아니야,비스트,Q3,Q3,2013,3,0
